T:X:Y;V.T.R
12:1:1;87.3
12:2:1;22.1
12:3:1;22.2
12:4:1;65.3
12:5:1;65.2
12:1:2;22.3
12:2:2;100.1
12:3:2;50.2
12:4:2;90.1
12:5:2;55.3
12:1:3;5.2
12:2:3;35.1
12:3:3;5.3
12:4:3;52.3
12:5:3;55.1
13:1:1;42.1
13:2:1;4.1
13:3:1;3.1
13:4:1;84.2
13:5:1;58.2
13:6:1;14.1
13:1:2;30.3
13:2:2;15.1
13:3:2;64.1
13:4:2;89.3
13:5:2;39.3
13:7:2;14.2
13:1:3;2.1
13:2:3;5.1
13:3:3;34.2
13:4:3;36.2
13:5:3;18.3
13:6:3;14.3
14:1:1;18.2
14:2:1;86.2
14:3:1;92.2
14:4:1;80.1
14:5:1;25.1
14:6:1;75.3
14:7:1;24.1
14:1:2;75.1
14:2:2;72.3
14:3:2;59.3
14:4:2;61.2
14:5:2;25.2
14:6:2;36.3
14:7:2;24.2
14:1:3;2.3
14:2:3;64.2
14:3:3;27.1
14:4:3;34.1
14:5:3;25.3
14:6:3;35.3
14:7:3;24.3
14:1:4;51.1
14:2:4;34.3
14:3:4;21.3
14:4:4;99.3
14:5:4;48.2
14:6:4;28.2
14:7:4;67.2
14:8:4;K
15:1:1;83.1
15:2:1;99.2
15:3:1;6.2
15:4:1;44.1
15:5:1;31.3
15:6:1;44.2
15:7:1;40.3
15:8:1;36.1
15:1:2;76.2
15:2:2;35.2
15:3:2;54.2
15:4:2;52.1
15:5:2;45.1
15:6:2;42.2
15:7:2;15.3
15:8:2;100.2
15:1:3;49.3
15:2:3;75.2
15:3:3;65.1
15:4:3;100.3
15:5:3;45.2
15:6:3;43.2
15:7:3;92.3
15:8:3;4.2
15:1:4;94.3
15:2:4;83.3
15:3:4;23.2
15:4:4;87.1
15:5:4;45.3
15:6:4;51.2
15:7:4;18.1
15:8:4;94.2
16:1:1;11.1
16:2:1;26.2
16:3:1;47.1
16:4:1;105.2
16:5:1;28.1
16:6:1;63.1
16:7:1;56.3
16:8:1;44.3
16:1:2;11.2
16:2:2;26.3
16:3:2;47.2
16:4:2;16.3
16:5:2;1.3
16:6:2;37.2
16:7:2;64.3
16:8:2;3.2
16:1:3;11.3
16:2:3;33.1
16:3:3;47.3
16:4:3;87.2
16:5:3;6.3
16:6:3;61.1
16:7:3;85.2
16:8:3;58.1
16:1:4;12.1
16:2:4;33.2
16:3:4;60.1
16:4:4;92.1
16:5:4;81.2
16:6:4;72.2
16:7:4;101.3
16:8:4;30.1
16:1:5;12.2
16:2:5;41.1
16:3:5;60.2
16:4:5;8.1
16:5:5;42.3
16:6:5;38.2
16:7:5;102.1
16:8:5;61.3
17:1:1;12.3
17:2:1;33.3
17:3:1;68.1
17:4:1;21.1
17:5:1;40.1
17:6:1;56.2
17:7:1;31.2
17:8:1;70.2
17:1:2;19.1
17:2:2;41.2
17:3:2;68.32
17:4:2;53.3
17:5:2;103.1
17:6:2;58.3
17:7:2;2.2
17:8:2;101.1
17:1:3;19.2
17:2:3;41.3
17:3:3;74.1
17:4:3;30.2
17:5:3;52.2
17:6:3;51.3
17:7:3;56.1
17:8:3;29.3
17:1:4;19.3
17:2:4;46.2
17:3:4;74.2
17:4:4;55.2
17:5:4;50.1
17:6:4;29.1
17:7:4;62.1
17:8:4;15.2
17:1:5;26.1
17:2:5;46.3
17:3:5;74.3
17:4:5;1.2
17:5:5;1.1
17:6:5;31.1
17:7:5;3.3
18:10:1;40.2
18:11:1;72.1
18:10:2;69.2
18:11:2;99.1
18:10:3;29.2
18:11:3;78.1
18:10:4;50.3
18:11:4;73.2
18:10:5;8.3
18:11:5;68.3
19:10:1;71.1
19:11:1;38.3
19:10:2;6.1
19:11:2;8.2
19:10:3;62.3
19:11:3;101.2
19:10:4;53.2
19:11:4;95.2
19:10:5;91.1
19:11:5;98.3
