unit,timestamp,sensor,genotype,g_alias,treatment,3D Leaf Area mm²,Canopy Light Penetration Depth mm,Convex Hull Area Coverage %,Convex Hull Area mm²,Convex Hull Aspect Ratio ,Convex Hull Circumference mm,Convex Hull Maximum Width mm,Digital Biomass mm³,GLI Average ,GLI [-0.2:0] %,GLI [-1:-0.2] %,GLI [0.15:0.3] %,GLI [0.3:0.6] %,GLI [0.6:1] %,GLI [0:0.15] %,Hue Average °,Hue [0:25] %,Hue [100:125] %,Hue [125:360] %,Hue [25:50] %,Hue [50:75] %,Hue [75:100] %,Lightness Average %,Lightness [0:0] %,Lightness [0:25] %,Lightness [100:100] %,Lightness [25:50] %,Lightness [50:75] %,Lightness [75:100] %,NA NA,NDVI Average ,NDVI [-1:0] %,NDVI [0.15:0.3] %,NDVI [0.3:0.45] %,NDVI [0.45:0.6] %,NDVI [0.6:1] %,NDVI [0:0.15] %,NPCI Average ,NPCI [-0.2:0] %,NPCI [-1:-0.2] %,NPCI [0.2:0.4] %,NPCI [0.4:0.6] %,NPCI [0.6:1] %,NPCI [0:0.2] %,PSRI Average ,PSRI [-0.2:0] %,PSRI [-0.4:-0.2] %,PSRI [-0.8:-0.4] %,PSRI [-4:-0.8] %,PSRI [0.2:4] %,PSRI [0:0.2] %,Plant Height Averaged mm,Plant Height Max mm,Projected Leaf Area mm²,Saturation Average %,Saturation [0:0] %,Saturation [0:25] %,Saturation [100:100] %,Saturation [25:50] %,Saturation [50:75] %,Saturation [75:100] %,Surface Angle Average °,Voxel Volume Total mm³
12:1:1,2022-11-24 17:19:57,A,potato,potato,n/a,10562.1,52.9089,74.3943,10973.3,65.708,403.886,153.827,1029070,0.198518,4.80989,1.95013,47.1239,22.1648,0.464629,23.4867,130.545,1.72764,24.3963,58.2357,1.38734,3.23277,11.0202,5.23372,0,99.9935,0,0.00654407,0,0,15.5608,0.687529,0.307572,0.628231,2.3166,12.5973,83.522,0.628231,-0.0480361,40.9921,20.5549,7.62385,1.61639,0.660951,28.5518,-0.0130038,60.6636,0.765657,0.091617,0.0130881,1.79308,36.673,97.4308,103.799,8163.52,31.5247,0,34.9454,1.0536,55.7032,7.60421,0.693672,50.6309,15281
12:1:1,2022-11-24 17:23:28,A,potato,potato,n/a,10379.2,53.1955,73.5981,10983.8,65.9299,404.11,153.827,1013280,0.203962,4.92582,1.66172,47.2008,23.0003,0.501154,22.7102,130.62,1.43093,24.8335,58.147,1.3452,3.31685,10.9265,5.24924,0,99.9934,0,0.00659413,0,0,0.126217,0.689137,0.211012,0.883614,2.3607,11.7573,84.3653,0.422024,-0.048853,41.0089,20.7517,8.13716,1.49687,0.639631,27.9657,-0.0157473,60.7847,0.79789,0.125288,0.0461589,1.6815,36.5645,97.6264,102.999,8083.88,31.6763,0,33.8609,0.90999,56.7755,7.82723,0.626442,51.1715,15165
12:1:1,2022-11-25 11:40:02,A,potato,potato,n/a,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
12:1:1,2022-11-25 11:42:35,A,potato,potato,n/a,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
12:1:1,2022-11-25 16:14:23,A,potato,potato,n/a,15452.4,99.2634,93.1264,12617.7,69.5849,434.175,167.223,1658460,0.0228421,14.7324,19.8121,35.1755,11.5087,0.451322,18.32,86.4444,13.4568,15.7134,52.0678,6.1435,4.7573,7.86129,4.54973,0,99.8895,0,0.0690799,0.0184213,0.0230266,0.23615,0.519275,2.01713,14.9995,14.6311,12.5956,51.1467,4.60993,0.132409,30.8833,8.03168,18.8081,11.3613,6.38758,24.528,0.117161,38.2564,0.506586,0.128949,0.0230266,27.5859,33.4991,107.327,119.799,11750.4,38.0177,0,29.2438,4.154,49.5947,13.162,3.84545,49.4917,21714
12:1:1,2022-11-25 16:16:50,A,potato,potato,n/a,15255.6,99.0682,92.5269,12590.4,69.9942,435.776,168.223,1634140,0.0219373,14.2851,20.0157,35.5188,11.2213,0.387579,18.5715,86.8976,12.9193,15.7615,52.3924,6.12283,5.06621,7.73774,4.55024,0,99.8893,0,0.0784386,0.0138421,0.0184561,0.222428,0.520017,2.104,14.9126,14.322,12.4579,51.6264,4.57712,0.129792,31.3062,7.97767,19.0329,11.1983,5.96133,24.5236,0.115246,38.6379,0.484474,0.133807,0.0230702,27.3105,33.4102,107.118,120.091,11649.5,37.8238,0,29.0915,4.09265,50.3668,12.7993,3.6497,49.7752,21673
12:1:1,2022-11-28 11:14:56,A,potato,potato,n/a,18963.1,104.594,81.8957,16893.8,87.031,486.263,174.294,2133020,0.0704491,11.8458,14.5721,39.4425,12.8941,0.599009,20.6466,102.628,9.78766,17.21,53.1122,5.56004,5.17605,9.15409,4.65694,0,99.9654,0,0.0345582,0,0,0.217435,0.56085,1.30169,10.114,13.1667,14.8716,57.2399,3.30607,0.0945139,35.1918,9.68014,15.8737,8.6434,5.36805,25.2429,0.0792597,43.9005,0.744922,0.145913,0.0614369,20.3126,34.8347,112.483,121.399,13835.3,36.0681,0,32.0278,3.80141,50.0365,11.1585,2.97585,46.8352,26043
12:1:1,2022-11-28 11:17:14,A,potato,potato,n/a,17625.3,104.22,81.0306,16364.2,85.3733,477.606,171.172,1974580,0.0693166,11.9195,14.6197,39.6942,13.0825,0.44668,20.2374,102.656,9.93561,17.2676,53.1911,5.62978,5.27565,8.7002,4.70636,0,99.9557,0,0.0442656,0,0,21.1412,0.560391,1.36016,10.2696,13.0141,15.336,56.9537,3.0664,0.0925895,34.5312,10.326,15.4769,8.75251,5.50101,25.4125,0.079468,43.8511,0.740443,0.189135,0.0523139,20.664,34.503,112.031,122.199,13260,36.2962,0,31.6419,4.11268,50.2294,11.4165,2.5996,48.7761,24850
12:1:1,2022-11-29 10:47:46,A,potato,potato,n/a,17742.5,111.614,75.2566,17751.7,83.1553,502.81,178.515,2117330,0.0794623,9.63401,13.3971,41.6878,13.8457,0.615275,20.8201,113.472,7.67307,17.6127,57.6215,3.84646,4.65227,8.594,4.78396,0,99.9047,0,0.0952683,0,0,0.221529,0.576972,1.76246,8.68133,10.2929,14.2585,62.0594,2.94538,0.0551579,38.9846,11.9482,13.0795,6.49412,4.37044,25.1231,0.0578709,49.7618,0.841537,0.234201,0.0674817,15.9932,33.1018,119.337,128.599,13359.3,35.6097,0,33.467,4.70784,49.7856,9.48714,2.5524,48.8305,25192
12:1:1,2022-11-29 10:50:20,A,potato,potato,n/a,17768.7,111.447,75.0985,17854.3,83.4885,503.805,179.046,2118470,0.0763817,9.44363,14.0846,42.1237,13.643,0.516541,20.1885,113.56,7.42479,17.2272,58.3455,3.74985,4.80265,8.44998,4.81856,0,99.9172,0,0.0828043,0,0,0.224158,0.572883,1.77043,9.55798,9.64867,14.1556,61.7917,3.07559,0.0540039,39.407,11.8765,13.0279,6.45479,4.31765,24.9162,0.0591712,49.9389,1.0252,0.212925,0.0512598,16.2296,32.5421,119.225,128.599,13408.3,35.6295,0,32.9679,4.65281,50.345,9.52644,2.50779,48.9741,25361
