"","unit","timestamp","sensor","genotype","g_alias","treatment","3D Leaf Area mm²","Canopy Light Penetration Depth mm","Convex Hull Area Coverage %","Convex Hull Area mm²","Convex Hull Aspect Ratio","Convex Hull Circumference mm","Convex Hull Maximum Width mm","Digital Biomass mm³","GLI Average","GLI [-0.2:0] %","GLI [-1:-0.2] %","GLI [0.15:0.3] %","GLI [0.3:0.6] %","GLI [0.6:1] %","GLI [0:0.15] %","Hue Average °","Hue [0:25] %","Hue [100:125] %","Hue [125:360] %","Hue [25:50] %","Hue [50:75] %","Hue [75:100] %","Lightness Average %","Lightness [0:0] %","Lightness [0:25] %","Lightness [100:100] %","Lightness [25:50] %","Lightness [50:75] %","Lightness [75:100] %","NA NA","NDVI Average","NDVI [-1:0] %","NDVI [0.15:0.3] %","NDVI [0.3:0.45] %","NDVI [0.45:0.6] %","NDVI [0.6:1] %","NDVI [0:0.15] %","NPCI Average","NPCI [-0.2:0] %","NPCI [-1:-0.2] %","NPCI [0.2:0.4] %","NPCI [0.4:0.6] %","NPCI [0.6:1] %","NPCI [0:0.2] %","PSRI Average","PSRI [-0.2:0] %","PSRI [-0.4:-0.2] %","PSRI [-0.8:-0.4] %","PSRI [-4:-0.8] %","PSRI [0.2:4] %","PSRI [0:0.2] %","Plant Height Averaged mm","Plant Height Max mm","Projected Leaf Area mm²","Saturation Average %","Saturation [0:0] %","Saturation [0:25] %","Saturation [100:100] %","Saturation [25:50] %","Saturation [50:75] %","Saturation [75:100] %","Surface Angle Average °","Voxel Volume Total mm³"
"1","12:1:1",2022-11-25 16:14:23,"A","potato","potato","n/a",15452.4,99.2634,93.1264,12617.7,69.5849,434.175,167.223,1658460,0.0228421,14.7324,19.8121,35.1755,11.5087,0.451322,18.32,86.4444,13.4568,15.7134,52.0678,6.1435,4.7573,7.86129,4.54973,0,99.8895,0,0.0690799,0.0184213,0.0230266,0.23615,0.519275,2.01713,14.9995,14.6311,12.5956,51.1467,4.60993,0.132409,30.8833,8.03168,18.8081,11.3613,6.38758,24.528,0.117161,38.2564,0.506586,0.128949,0.0230266,27.5859,33.4991,107.327,119.799,11750.4,38.0177,0,29.2438,4.154,49.5947,13.162,3.84545,49.4917,21714
"2","12:1:1",2022-11-25 16:16:50,"A","potato","potato","n/a",15255.6,99.0682,92.5269,12590.4,69.9942,435.776,168.223,1634140,0.0219373,14.2851,20.0157,35.5188,11.2213,0.387579,18.5715,86.8976,12.9193,15.7615,52.3924,6.12283,5.06621,7.73774,4.55024,0,99.8893,0,0.0784386,0.0138421,0.0184561,0.222428,0.520017,2.104,14.9126,14.322,12.4579,51.6264,4.57712,0.129792,31.3062,7.97767,19.0329,11.1983,5.96133,24.5236,0.115246,38.6379,0.484474,0.133807,0.0230702,27.3105,33.4102,107.118,120.091,11649.5,37.8238,0,29.0915,4.09265,50.3668,12.7993,3.6497,49.7752,21673
"3","12:1:1",2022-11-28 11:14:56,"A","potato","potato","n/a",18963.1,104.594,81.8957,16893.8,87.031,486.263,174.294,2133020,0.0704491,11.8458,14.5721,39.4425,12.8941,0.599009,20.6466,102.628,9.78766,17.21,53.1122,5.56004,5.17605,9.15409,4.65694,0,99.9654,0,0.0345582,0,0,0.217435,0.56085,1.30169,10.114,13.1667,14.8716,57.2399,3.30607,0.0945139,35.1918,9.68014,15.8737,8.6434,5.36805,25.2429,0.0792597,43.9005,0.744922,0.145913,0.0614369,20.3126,34.8347,112.483,121.399,13835.3,36.0681,0,32.0278,3.80141,50.0365,11.1585,2.97585,46.8352,26043
"4","12:1:1",2022-11-28 11:17:14,"A","potato","potato","n/a",17625.3,104.22,81.0306,16364.2,85.3733,477.606,171.172,1974580,0.0693166,11.9195,14.6197,39.6942,13.0825,0.44668,20.2374,102.656,9.93561,17.2676,53.1911,5.62978,5.27565,8.7002,4.70636,0,99.9557,0,0.0442656,0,0,21.1412,0.560391,1.36016,10.2696,13.0141,15.336,56.9537,3.0664,0.0925895,34.5312,10.326,15.4769,8.75251,5.50101,25.4125,0.079468,43.8511,0.740443,0.189135,0.0523139,20.664,34.503,112.031,122.199,13260,36.2962,0,31.6419,4.11268,50.2294,11.4165,2.5996,48.7761,24850
"5","12:1:1",2022-11-29 10:47:46,"A","potato","potato","n/a",17742.5,111.614,75.2566,17751.7,83.1553,502.81,178.515,2117330,0.0794623,9.63401,13.3971,41.6878,13.8457,0.615275,20.8201,113.472,7.67307,17.6127,57.6215,3.84646,4.65227,8.594,4.78396,0,99.9047,0,0.0952683,0,0,0.221529,0.576972,1.76246,8.68133,10.2929,14.2585,62.0594,2.94538,0.0551579,38.9846,11.9482,13.0795,6.49412,4.37044,25.1231,0.0578709,49.7618,0.841537,0.234201,0.0674817,15.9932,33.1018,119.337,128.599,13359.3,35.6097,0,33.467,4.70784,49.7856,9.48714,2.5524,48.8305,25192
"6","12:1:1",2022-11-29 10:50:20,"A","potato","potato","n/a",17768.7,111.447,75.0985,17854.3,83.4885,503.805,179.046,2118470,0.0763817,9.44363,14.0846,42.1237,13.643,0.516541,20.1885,113.56,7.42479,17.2272,58.3455,3.74985,4.80265,8.44998,4.81856,0,99.9172,0,0.0828043,0,0,0.224158,0.572883,1.77043,9.55798,9.64867,14.1556,61.7917,3.07559,0.0540039,39.407,11.8765,13.0279,6.45479,4.31765,24.9162,0.0591712,49.9389,1.0252,0.212925,0.0512598,16.2296,32.5421,119.225,128.599,13408.3,35.6295,0,32.9679,4.65281,50.345,9.52644,2.50779,48.9741,25361
"7","12:1:1",2022-11-30 10:30:40,"A","potato","potato","n/a",18026.2,120.451,70.7686,19082,80.9785,526.092,186.919,2326950,0.0937499,8.17478,11.8011,44.473,13.2057,0.731489,21.6139,120.513,5.97642,17.7892,60.3868,3.06603,4.17104,8.61056,4.87573,0,99.9183,0,0.0817089,0,0,0.206056,0.583927,2.40068,7.57169,7.68063,13.5753,65.8068,2.96487,0.0261845,42.5548,12.9917,11.2097,4.46286,3.56017,25.2208,0.0404292,53.7255,1.29956,0.319054,0.0933816,12.2135,32.3489,129.087,139.174,13504.1,34.3667,0,35.7885,4.71188,49.6051,7.85962,2.03494,48.4991,25701
"8","12:1:1",2022-11-30 10:33:10,"A","potato","potato","n/a",18187.9,120.458,71.2862,19044.6,81.1465,526.959,185.662,2347760,0.0924433,8.27704,11.9807,44.0368,13.6657,0.64446,21.3953,120.423,6.04084,17.6178,60.6258,3.12524,4.35205,8.23822,4.86668,0,99.8874,0,0.112586,0,0,0.305858,0.584163,2.33714,7.83058,7.95481,13.7239,65.3079,2.84572,0.0248299,42.6508,13.0911,10.8743,4.69369,3.36594,25.3242,0.0399945,53.9638,1.27727,0.318348,0.120351,12.4505,31.8697,129.083,139.799,13576.1,34.3529,0,35.6045,4.63545,49.7826,7.9354,2.04208,48.2658,25758
"9","12:1:1",2022-12-01 10:47:31,"A","potato","potato","n/a",20884.6,133.206,74.5423,21471.6,81.0421,549.995,194.169,2955020,0.0924475,8.20838,11.4354,45.7046,12.1298,0.493107,22.0288,119.697,6.06823,18.1812,59.951,3.18339,4.14277,8.47338,5.01244,0,99.9262,0,0.0704438,0.00335447,0,0.18062,0.587368,1.60008,6.76596,8.56731,15.974,64.7244,2.36825,0.0269629,44.4232,11.1435,11.1972,4.46815,3.10624,25.6617,0.0350589,54.1075,1.00299,0.338801,0.0737983,11.5327,32.9442,141.493,150.999,16005.4,33.3278,0,38.5831,4.30378,47.8448,7.44021,1.82818,50.0042,29811
"10","12:1:1",2022-12-01 10:49:53,"A","potato","potato","n/a",21001.8,132.784,75.0433,21403.4,80.9285,549.317,194.216,2964060,0.0905872,8.45113,11.6165,45.5215,11.851,0.502445,22.0573,119.639,6.21357,17.7229,60.2432,3.20895,4.20379,8.40758,5.03806,0,99.933,0,0.0636431,0,0.00334963,0.206927,0.586379,1.65807,6.78971,8.89663,15.7567,64.4905,2.40839,0.026446,43.7027,11.6366,10.9969,4.54545,3.1989,25.9195,0.0365413,53.9057,1.03504,0.304817,0.0703423,11.8108,32.8733,141.133,151.799,16061.8,33.3742,0,37.603,4.25404,48.9147,7.44289,1.78536,49.8625,29854
