unit,timestamp,sensor,genotype,g_alias,treatment,3D Leaf Area mm²,Canopy Light Penetration Depth mm,Convex Hull Area Coverage %,Convex Hull Area mm²,Convex Hull Aspect Ratio ,Convex Hull Circumference mm,Convex Hull Maximum Width mm,Digital Biomass mm³,GLI Average ,GLI [-0.2:0] %,GLI [-1:-0.2] %,GLI [0.15:0.3] %,GLI [0.3:0.6] %,GLI [0.6:1] %,GLI [0:0.15] %,Hue Average °,Hue [0:25] %,Hue [100:125] %,Hue [125:360] %,Hue [25:50] %,Hue [50:75] %,Hue [75:100] %,Lightness Average %,Lightness [0:0] %,Lightness [0:25] %,Lightness [100:100] %,Lightness [25:50] %,Lightness [50:75] %,Lightness [75:100] %,NA NA,NDVI Average ,NDVI [-1:0] %,NDVI [0.15:0.3] %,NDVI [0.3:0.45] %,NDVI [0.45:0.6] %,NDVI [0.6:1] %,NDVI [0:0.15] %,NPCI Average ,NPCI [-0.2:0] %,NPCI [-1:-0.2] %,NPCI [0.2:0.4] %,NPCI [0.4:0.6] %,NPCI [0.6:1] %,NPCI [0:0.2] %,PSRI Average ,PSRI [-0.2:0] %,PSRI [-0.4:-0.2] %,PSRI [-0.8:-0.4] %,PSRI [-4:-0.8] %,PSRI [0.2:4] %,PSRI [0:0.2] %,Plant Height Averaged mm,Plant Height Max mm,Projected Leaf Area mm²,Saturation Average %,Saturation [0:0] %,Saturation [0:25] %,Saturation [100:100] %,Saturation [25:50] %,Saturation [50:75] %,Saturation [75:100] %,Surface Angle Average °,Voxel Volume Total mm³
14:1:1,2022-11-24 17:39:54,A,potato,potato,n/a,14947.6,57.9203,70.8318,15991.2,74.4378,483.081,175.712,1213370,0.229321,3.64494,0.518484,45.2325,26.339,1.34806,22.917,124.382,0.616996,30.9794,47.2235,1.25992,3.45829,16.4619,8.92078,0,99.9948,0,0.00518484,0,0,0.148202,0.606641,0.373308,0.622181,6.88547,36.0865,55.7422,0.290351,-0.00161588,38.29,14.7146,11.3704,2.47317,0.668844,32.483,-0.00126969,51.724,1.14585,0.114066,0.0155545,2.0532,44.9474,81.1749,91.3541,11326.9,32.0255,0,34.3599,0.279981,54.6067,9.60232,1.15103,49.2604,19287
14:1:1,2022-11-24 17:42:19,A,potato,potato,n/a,14811.3,57.9888,70.7831,15937.5,75.444,482.758,176.076,1204100,0.227572,4.19504,0.577013,44.6535,25.5861,1.59588,23.3924,124.82,0.582211,30.223,47.7985,1.5283,3.83636,16.0316,8.93633,0,99.9948,0,0.00519832,0,0,1127080,0.608055,0.384675,0.628996,6.88257,36.2687,55.5076,0.327494,-0.00340284,37.7398,15.8393,12.0653,2.1469,0.805739,31.403,-0.00226962,52.1391,1.34117,0.0883714,0.0103966,2.1573,44.2637,81.2963,91.0828,11281.1,32.2509,0,33.3836,0.337891,55.3257,9.76244,1.19041,49.6026,19237
14:1:1,2022-11-25 12:08:28,A,potato,potato,n/a,15671.6,59.5314,70.8663,16459.4,72.2164,488.759,179.489,1293900,0.234738,4.35266,0.459503,43.5064,27.8681,1.66128,22.1521,123.099,0.68168,32.3571,45.0364,1.26742,3.59018,17.0673,9.04011,0,99.9798,0,0.0201979,0,0,15.6545,0.602719,0.39386,0.742274,7.22076,37.3914,53.8679,0.383761,0.00897418,36.4623,14.2093,12.1137,2.45405,1.01495,33.7457,0.00284469,49.4092,1.18158,0.0807918,0,2.24197,47.0864,82.5633,94.4891,11664.1,32.6744,0,32.9176,0.313068,54.9586,10.3817,1.429,48.0892,19804
14:1:1,2022-11-25 12:10:52,A,potato,potato,n/a,15676.8,59.2618,70.9702,16495.8,72.4939,488.937,179.489,1292770,0.233313,3.93642,0.471367,43.9575,28.8838,1.1032,21.6478,122.389,0.737138,32.3639,45.1409,1.67987,3.74085,16.3374,9.06316,0,99.99,0,0.0100291,0,0,0.100976,0.604059,0.346003,0.70705,7.09056,36.9471,54.478,0.431251,0.00319951,37.5238,13.4189,11.8694,1.92558,0.531541,34.7307,0.0019586,49.8245,1.01795,0.0902618,0.0100291,1.84535,47.2119,82.4635,94.8063,11707.1,32.2027,0,32.4391,0.185538,56.8148,9.66302,0.897603,48.3026,19942
14:1:1,2022-11-28 11:31:58,A,potato,potato,n/a,16279.6,58.3158,69.2482,17083.2,75.7942,487.279,174.44,1316380,0.232795,2.86925,0.399454,48.6068,26.2032,0.930436,20.9908,114.214,0.750195,33.2034,33.7831,1.61243,5.27085,25.38,9.92813,0,99.849,0,0.151013,0,0,0.138477,0.566519,0.180242,1.5491,14.8529,41.0415,42.0207,0.355612,0.0624198,29.7301,8.63211,18.3408,3.79482,1.03274,38.4694,0.0347779,37.7923,0.521239,0.0389712,0.00974279,5.32931,56.3085,80.8603,94.599,11829.9,32.5822,0,33.2083,0.199727,54.5158,10.8535,1.22272,46.5976,20528
14:1:1,2022-11-28 11:34:18,A,potato,potato,n/a,15958,58.3191,68.464,17022,75.8786,486.474,173.871,1288700,0.22423,4.35963,0.587538,45.591,25.7134,1.00227,22.7461,114.81,0.834403,30.9173,35.4449,2.04404,5.42609,25.3333,10.0121,0,99.7136,0,0.286363,0,0,0.128268,0.565004,0.23699,1.42688,15.0933,41.888,40.9697,0.385109,0.0609884,29.367,10.0178,18.4902,4.24607,1.10102,36.7779,0.0330242,38.58,0.755406,0.0345611,0.0049373,5.58408,55.041,80.7554,94.199,11653.9,32.4655,0,34.5413,0.232053,52.9179,10.9855,1.3232,46.9016,20254
14:1:1,2022-11-29 11:10:20,A,potato,potato,n/a,15878.1,60.432,67.6596,17171.4,76.4401,488.324,171.521,1326800,0.224986,4.38397,0.593765,46.3681,26.665,0.598714,21.3904,112.519,0.791687,30.7867,32.8303,1.93963,6.38298,27.2687,10.0834,0,99.6734,0,0.326571,0,0,0.144991,0.556209,0.286987,1.84562,17.6299,40.0148,39.6338,0.588817,0.0656827,26.1554,10.0891,20.7125,3.80505,0.717467,38.5205,0.0401478,35.2449,0.940129,0.0296883,0.0296883,6.24938,57.5062,83.5618,98.199,11618.1,32.7815,0,31.242,0.217714,57.2489,10.5195,0.771895,47.0208,20210
14:1:1,2022-11-29 11:13:02,A,potato,potato,n/a,16191.5,60.2848,68.7597,17175.2,77.2358,488.102,171.764,1355710,0.229652,3.29894,0.431139,48.4571,25.8732,0.876811,21.0628,111.842,0.775081,30.9693,32.2579,2.19445,6.37989,27.4233,9.99087,0,99.6706,0,0.329409,0,0,0.136116,0.55898,0.314877,2.02006,16.7321,39.8682,40.5755,0.48927,0.0676967,25.7666,9.95495,20.5687,4.12246,0.828368,38.7589,0.041588,34.8302,0.804147,0.0726639,0.00968851,6.63179,57.6515,83.7296,97.4281,11809.7,32.963,0,30.9064,0.188926,57.2688,10.6719,0.964007,46.8237,20643
14:1:1,2022-11-30 10:50:23,A,potato,potato,n/a,14893,66.8264,68.9998,16307.2,64.0737,480.846,172.431,1308390,0.221156,4.40803,0.608704,47.834,25.0837,0.644212,21.4213,110.186,0.882621,27.4627,31.3229,2.3638,7.46677,30.5012,10.1867,0,99.4167,0,0.583342,0,0,0.145393,0.542104,0.426093,3.44425,20.0467,38.1049,37.2882,0.689865,0.0870097,25.1344,9.11028,23.7902,5.44283,1.17683,35.3454,0.055251,33.1896,0.953637,0.0760881,0.0202901,10.4291,55.3312,87.8523,102.449,11252,33.2878,0,30.7852,0.289135,56.6653,11.2661,0.994217,49.063,19714
14:1:1,2022-11-30 10:52:48,A,potato,potato,n/a,15195.1,66.9657,69.9299,16385.8,63.8372,482.334,173.379,1339290,0.227428,4.00139,0.575169,47.2828,26.5619,0.847878,20.7309,109.044,0.986712,28.5452,29.9137,2.48413,7.30365,30.7666,10.0069,0,99.3752,0,0.624752,0,0,0.144947,0.544966,0.456168,3.30226,19.5954,37.733,38.2041,0.709044,0.0915147,24.0133,8.61761,23.4629,5.7021,1.14538,37.0587,0.0565476,31.7929,0.743752,0.0446251,0.0297501,10.1845,57.2045,88.1397,102.999,11458.5,33.6732,0,30.0873,0.287584,56.1285,12.4752,1.02142,48.9378,20168
