unit,timestamp,sensor,genotype,g_alias,treatment,3D Leaf Area mm²,Canopy Light Penetration Depth mm,Convex Hull Area Coverage %,Convex Hull Area mm²,Convex Hull Aspect Ratio ,Convex Hull Circumference mm,Convex Hull Maximum Width mm,Digital Biomass mm³,GLI Average ,GLI [-0.2:0] %,GLI [-1:-0.2] %,GLI [0.15:0.3] %,GLI [0.3:0.6] %,GLI [0.6:1] %,GLI [0:0.15] %,Hue Average °,Hue [0:25] %,Hue [100:125] %,Hue [125:360] %,Hue [25:50] %,Hue [50:75] %,Hue [75:100] %,Lightness Average %,Lightness [0:0] %,Lightness [0:25] %,Lightness [100:100] %,Lightness [25:50] %,Lightness [50:75] %,Lightness [75:100] %,NA NA,NDVI Average ,NDVI [-1:0] %,NDVI [0.15:0.3] %,NDVI [0.3:0.45] %,NDVI [0.45:0.6] %,NDVI [0.6:1] %,NDVI [0:0.15] %,NPCI Average ,NPCI [-0.2:0] %,NPCI [-1:-0.2] %,NPCI [0.2:0.4] %,NPCI [0.4:0.6] %,NPCI [0.6:1] %,NPCI [0:0.2] %,PSRI Average ,PSRI [-0.2:0] %,PSRI [-0.4:-0.2] %,PSRI [-0.8:-0.4] %,PSRI [-4:-0.8] %,PSRI [0.2:4] %,PSRI [0:0.2] %,Plant Height Averaged mm,Plant Height Max mm,Projected Leaf Area mm²,Saturation Average %,Saturation [0:0] %,Saturation [0:25] %,Saturation [100:100] %,Saturation [25:50] %,Saturation [50:75] %,Saturation [75:100] %,Surface Angle Average °,Voxel Volume Total mm³
18:10:1,2022-11-24 18:19:02,A,potato,potato,n/a,1757.08,21.5653,71.8688,1500.5,81.0401,141.235,48.9506,48321.6,0.185488,14.0688,4.35223,28.087,23.7348,4.60526,25.1518,147.249,1.06275,16.6498,67.0547,1.46761,3.59312,10.1721,6.51178,0,100,0,0,0,0,0.309975,0.666367,0.101215,0.55668,5.51619,23.9879,69.2814,0.55668,-0.139233,30.5162,38.917,7.13563,1.92308,1.01215,20.496,-0.0540421,59.7672,9.10931,0.455466,0.101215,1.21457,29.3522,27.5011,29.749,1078.39,38.4453,0,30.415,2.93522,44.585,17.7126,4.35223,37.8594,1976
18:10:1,2022-11-24 18:21:27,A,potato,potato,n/a,1683.42,21.6485,70.8596,1502,81.6716,140.982,48.9506,46251,0.204602,16.6494,5.27404,19.9586,23.7849,9.56567,24.7673,148.585,1.86143,18.7694,64.4261,1.29266,3.92968,9.72079,6.2341,0,100,0,0,0,0,0.292427,0.688186,0.155119,0.465357,3.72285,23.7849,71.7167,0.155119,-0.117818,27.818,39.8139,8.32472,2.74043,2.68873,18.6143,-0.0512415,57.2389,9.72079,0.672182,0,2.27508,30.0931,27.4745,30.399,1064.31,42.0059,0,28.2833,4.34333,39.9173,20.9928,6.46329,39.214,1934
18:10:1,2022-11-25 12:29:37,A,potato,potato,n/a,3748.79,16.1944,74.4729,3466.5,66.1023,219.679,80.895,99845.2,0.197135,12.1891,2.48712,29.7558,25.1624,3.69706,26.7085,140.826,1.0531,23.4371,60.1613,1.47883,3.02487,10.8447,8.47304,0,99.9552,0,0.0448129,0,0,0.259746,0.624446,0.425723,0.941071,7.37172,31.0553,59.7356,0.470536,-0.0733635,34.7076,28.9267,7.84226,2.26305,1.12032,25.14,-0.0388627,56.3298,6.99081,0.246471,0.0672194,2.28546,34.0802,26.634,28.2326,2581.6,34.4298,0,34.842,1.14273,47.0311,14.4298,2.55434,43.5185,4463
18:10:1,2022-11-25 12:32:01,A,potato,potato,n/a,3714.63,15.8989,73.8208,3455.5,66.4541,219.582,81.3683,98691.7,0.187492,16.4411,3.87912,27.9657,20.0947,6.51782,25.1015,141.986,1.80424,17.0952,60.4871,2.52594,5.2323,12.8552,8.55093,0,99.9774,0,0.022553,0,0,21.7983,0.624738,0.518719,0.766802,9.69779,31.7997,56.8561,0.360848,-0.0819876,25.8232,35.0925,12.4267,3.20253,1.89445,21.5607,-0.038796,48.4213,11.9305,0.473613,0.090212,4.78124,34.3031,26.5684,28.024,2550.88,38.1022,0,28.9806,2.41317,49.3234,14.2309,5.05187,43.3655,4434
18:10:1,2022-11-28 11:48:08,A,potato,potato,n/a,10162.9,27.4763,74.1278,9540,64.4717,377.901,142.123,543396,0.200842,14.0767,3.5777,26.8495,20.7891,7.23063,27.4764,140.265,1.85572,19.8863,59.2995,2.75015,4.79813,11.4102,8.38564,0,99.7409,0,0.225696,0.0250773,0.00835911,1.06529,0.632145,0.46811,1.37925,10.4572,29.5912,57.5525,0.551701,-0.0808479,26.5987,33.7374,10.499,3.07615,2.52445,23.5643,-0.0381486,48.4327,11.0842,0.685447,0.108668,4.22135,35.4677,53.4686,59.199,7071.79,39.0439,0,30.4857,2.99256,44.4203,15.8656,6.23589,44.1022,11963
18:10:1,2022-11-28 11:50:31,A,potato,potato,n/a,9968.2,27.9525,74.3434,9425,64.3172,376.046,141.048,540776,0.205137,14.2483,3.53041,25.2365,23.2179,7.22128,26.5456,141.94,1.55405,20.1943,60.9206,2.54223,3.8598,10.9291,8.47736,0,99.7635,0,0.194257,0.0422297,0,0.172577,0.630961,0.532095,1.25845,9.56081,29.223,58.7669,0.658784,-0.078136,29.2061,33.2601,9.66216,3.45439,2.69426,21.723,-0.0382291,51.5541,10.2787,0.548986,0.0675676,4.0625,33.4882,54.2501,59.199,7006.87,38.9251,0,30.8361,2.50845,43.6486,16.8919,6.11486,44.6697,11840
18:10:1,2022-11-29 11:27:22,A,potato,potato,n/a,10913.1,27.3963,66.8962,12304,68.7148,436.285,154.979,599589,0.20496,10.4935,2.6847,30.9056,25.8377,3.77821,26.3003,139.831,1.71737,20.8327,61.8534,2.08888,3.30857,10.1991,7.766,0,99.8177,0,0.140193,0.0350484,0.00700967,0.149321,0.646593,0.707977,0.995374,6.74331,26.4475,64.3628,0.743025,-0.101881,30.9056,33.2469,7.92794,2.15898,1.52811,24.2324,-0.0436444,55.089,8.51675,0.42759,0.112155,2.06785,33.7866,54.9422,67.199,8230.91,37.1924,0,31.6627,2.1029,45.4718,16.4657,4.29693,48.9701,14266
18:10:1,2022-11-29 11:29:49,A,potato,potato,n/a,11155.4,27.387,67.4803,12460,65.4003,437.599,156.745,613968,0.211837,12.5486,3.54441,26.7057,23.4817,7.25922,26.4604,142.371,1.54727,20.7484,60.6775,2.20844,3.96019,10.8582,7.73326,0,99.8092,0,0.170404,0.0204485,0,0.601189,0.648829,0.722514,1.01561,6.95249,26.5013,64.1879,0.620271,-0.0845722,28.3348,34.6466,8.96326,3.08772,3.2445,21.7231,-0.040847,52.4572,9.82891,0.579374,0.102243,3.5853,33.4469,55.0379,67.199,8408.05,39.7843,0,29.5004,3.21042,43.9234,17.2313,6.13455,48.9246,14671
18:10:1,2022-11-30 11:07:34,A,potato,potato,n/a,10296.5,31.7551,55.0617,14406.5,66.0787,465.504,167.217,602143,0.213012,9.77956,2.82224,32.4839,24.1856,5.25133,25.4774,141.633,1.28475,20.7175,63.5425,1.66386,3.02584,9.76552,7.144,0,99.7473,0,0.231676,0.014041,0.0070205,0.714714,0.658474,0.666947,1.05307,5.88318,22.9781,68.5692,0.849481,-0.100516,32.0696,34.2039,7.70851,2.27464,1.97276,21.7706,-0.0428258,58.5369,7.04858,0.56164,0.098287,2.47824,31.2763,58.4803,68.8966,7932.46,37.8853,0,30.2022,2.45718,46.7355,15.9155,4.68969,50.403,14244
18:10:1,2022-11-30 11:10:02,A,potato,potato,n/a,6213.87,36.4335,53.8249,9183,65.8746,362.809,132.339,383878,0.221412,10.9477,3.88018,28.6004,25.9674,7.0355,23.5689,138.218,2.08933,22.2258,59.8977,1.85481,3.66699,10.2654,6.79607,0,99.8934,0,0.0852788,0.0106598,0.0106598,0.259434,0.670356,0.71421,0.756849,5.15936,21.3836,71.2397,0.746189,-0.0842839,29.0161,32.5552,8.34666,2.47308,2.88882,24.7202,-0.035482,54.3332,6.49185,0.586291,0.159898,2.51572,35.913,61.7777,68.8354,4942.74,39.9018,0,28.8455,3.28323,43.9719,17.9192,5.98017,52.695,9381
